name,slug,bucket,why,detail,sector,status,url
8Sec,8sec,none,none:defunct,"8SEC closed in October 2025 after ten years and roughly 90 mobile games, and its own site is gone with it — 8sec.games now resolves to an OVHcloud ""Site not installed"" 404 behind a certificate issued to cluster103.hosting.ovh.net, so a verifying client cannot even complete the TLS handshake; only a leftover Netlify deploy of the marketing site still serves 8SEC content, and it answers every path with the same HTML homepage.",consumer,active,https://www.8sec.games/
Accenta,accenta,undisclosed,gated:customer-only-docs,"Accenta's effiPilot API reference is real and is Accenta's own — the login application at app.accenta.ai explicitly offers redirectTo=api%2Fdoc and search engines still index the page title ""documentation API effiPilot 2.16.3"" — but the /api/doc route is only served to an authenticated tenant session, so an anonymous GET returns {""message"":""Route not found""} and no machine-readable contract of any kind (OpenAPI, GraphQL, MCP, AsyncAPI, agent card, or any /.well-known/ document) is reachable on www.accenta.ai, app.accenta.ai or demo.accenta.ai.",ai-data,active,https://www.accenta.ai/
Acheel,acheel,undisclosed,gated:sales-gate,"Acheel's own partner FAQ answered ""Avez-vous des APIs ?"" with ""nous mettons à votre disposition nos APIs"", but that partner site (partners.acheel.com) now 301s to the Charlee broker marketing brand and the only route to the API is the broker partnership form at charlee.fr/registration — no reference, no base URL and no spec was ever published, and the broker console back.charlee.fr is a noindex login.",fintech-insurtech,active,https://www.acheel.com/
Acinq,acinq,programmable,published-contract,,blockchain,active,https://acinq.co/
Alkemics,alkemics,none,none:defunct,"Alkemics was fully absorbed by Salsify in October 2020 — alkemics.com and docs.alkemics.com now answer only HTTP 301 to salsify.com and docs.supplierxm.salsify.com, and api.alkemics.com returns NXDOMAIN, so there is no Alkemics-owned host left to serve a contract.",ai-data,acquired,https://www.alkemics.com/
Allo-Media,allo-media,programmable,published-contract,,ai-data,exited,https://www.allo-media.net/
AMI Labs,ami-labs,none,none:no-developer-program,"AMI Labs is a pre-product research lab whose entire web presence is two pages — its own sitemap.xml declares exactly https://amilabs.xyz and https://amilabs.xyz/updates — with no docs, no developer host in DNS, and a single March 2026 launch post that names no API, model release, or open-source repository.",ai-data,active,https://amilabs.xyz/
AramisAuto,aramisauto,programmable,published-contract,,consumer,acquired,https://www.aramisauto.com/
Arlettie,arlettie,programmable,contract-and-agent-surface,,consumer,exited,https://www.arlettie.com/
Bestmile,bestmile,none,none:defunct,"bestmile.com refuses HTTPS entirely and its HTTP/80 root serves a Gandi.net registrar parking page; api., docs., developer., platform. and app.bestmile.com are NXDOMAIN, and the surviving github.com/Bestmile org holds only forks of third-party OSS (secor, alpakka, chimney, squants) with no spec or SDK, because ZF Friedrichshafen absorbed the technology into SCALAR in November 2021.",ai-data,acquired,https://bestmile.com/
Bitstack,bitstack,none,none:no-developer-program,"Bitstack ships only a consumer iOS/Android Bitcoin savings app; api.bitstack-app.com resolves but answers a bare empty-bodied 404 on every path including its own root, and none of the 1,687 URLs in the published sitemap is a developer, docs, or API page.",blockchain,active,https://www.bitstack-app.com/
Bonitasoft,bonitasoft,programmable,published-contract,,saas,acquired,https://www.bonitasoft.com/
Boxy (ex-Storelift),getboxy,none,none:defunct,"SAS Storelift, the company behind the Boxy autonomous-store brand, entered liquidation judiciaire on 2024-11-06 and its getboxy.co domain is now parked on ParkingCrew nameservers answering HTTP 410 Gone on every path, so there is no surface left to profile and none was ever published.",consumer,active,https://www.getboxy.co/
Brigad,brigad,programmable,published-contract,,marketplace,active,https://brigad.co/
CarbonFarm,carbonfarm,programmable,published-contract,,climate-tech,active,https://www.carbonfarm.tech
Cheerz,cheerz,none,none:no-developer-program,"Cheerz is a consumer photo-printing retailer with no developer surface of any kind — the only HTTP 200 on any API-shaped path is www.cheerz.com/api-docs, which is the Google-OAuth sign-in screen for the internal ""Cheerz Admin"" back office rather than an API reference, no api. or developer. or docs. subdomain of cheerz.com resolves in DNS, the 418-URL English and 464-URL French sitemaps contain nothing but products, categories, collections, blog posts and four legal pages, robots.txt Disallows the /*/api/* private JSON backend its own SPA and mobile apps call, and no first-party client library exists on npm, PyPI, RubyGems or Packagist.",consumer,acquired,http://www.cheerz.com/
Clevergy,clevergy,programmable,published-contract,,climate-tech,active,https://clever.gy/fr/
Cloud Ex Machina,cloudexmachina,none,none:no-developer-program,"Cloud ex Machina is a real software company that ships a per-tenant SaaS product (Dex) and genuinely maintains public Docusaurus documentation, but it operates no developer program at all — no API reference among the 23 pages in its docs sitemap, no api.cloudexmachina.io host in DNS, no MCP server, no agent card, and no client SDK in any language registry; its only developer-facing distributables are AWS onboarding IaC (a Terraform Registry module at v0.6.0, a CloudFormation template, and a GitHub Action).",infrastructure,active,https://www.cloudexmachina.io/
Coachclub,coachclub,none,none:no-developer-program,"CoachClub ships a consumer fitness-video subscription and nothing else — the member application at mon.coachclub.com is a hosted Kajabi tenant (CNAME endpoint.mykajabi.com) that 404s every spec and .well-known path, and the only host named api.coachclub.com is a bare nginx catch-all on EC2 that answers 200 with a zero-byte body for every path, including a nonsense control path, so it serves no contract at all.",consumer,exited,http://www.coachclub.com/hp/
Cometh,cometh,undisclosed,api-listed-no-contract,,blockchain,active,https://www.cometh.io/
Coorpacademy,coorpacademy,programmable,published-contract,,saas,acquired,https://www.coorpacademy.com/
CybelAngel,cybelangel,programmable,published-contract,,ai-data,active,https://www.cybelangel.com/
Darewise,darewise,none,none:no-developer-program,"Darewise ships a consumer game and nothing else — the legacy brand host www.darewise.com now refuses TCP on both 443 and 80 (its last Internet Archive capture serving HTTP 200 is 2025-04-21), the live successor host www.lifebeyondstudios.com returns a real origin 404 for /llms.txt and for every /.well-known/* path while answering all HTML and API-shaped paths with a Cloudflare ""Just a moment..."" 403 interstitial, no api./docs./developer. subdomain resolves in DNS on either domain, and the studio's only first-party developer artifact anywhere is an unmaintained Apache-2.0 AsyncAPI generator template for Unreal Engine on npm (v0.1.3, 2023-12-11) — a code generator, not an API.",blockchain,acquired,https://www.darewise.com/
Dataiku,dataiku,programmable,published-contract,,ai-data,active,http://www.dataiku.com/
DeepIP,deepip,programmable,agent-surface-only,,ai-data,active,https://www.deepip.ai/
Descartes Underwriting,descartes-underwriting,none,none:no-developer-program,"Descartes Underwriting distributes bespoke parametric cover through corporate brokers and ships no public developer surface at all — /api, /docs, /developers, /openapi.json and every /.well-known/ path on descartesunderwriting.com return HTTP 404, no api./developer./docs./portal./ broker./app. subdomain resolves in DNS, and the company's seven public GitHub repositories are hiring technical tests and internal training rather than client SDKs.",climate-tech,active,https://descartesunderwriting.com/
DESKi,deski,none,none:no-developer-program,"DESKi ships regulated end-user software, not a platform: HeartFocus is an FDA-cleared iPhone/iPad app whose only machine-facing interface is a DICOM push to a PACS the customer configures in-app, and the DICOM conformance statement that would describe it is available only by emailing support@deski.ai — /openapi.json, /graphql, /llms.txt and every /.well-known/* path return a real 404 on www.heartfocus.ai and deski.ai, api./developer./link.heartfocus.ai do not resolve in DNS, docs.heartfocus.ai is an S3 bucket returning 403 AccessDenied, and portal.heartfocus.ai is a licence-management SPA that answers 200 with the same 467-byte HTML shell for every path probed.",healthtech,active,http://www.heartfocus.ai
Dotfile,dotfile,programmable,published-contract,,saas,active,https://www.dotfile.com/
Edgee,edgee,programmable,published-contract,,ai-data,active,https://www.edgee.cloud/
Educ-up,educ-up,none,none:no-developer-program,"The only software Educ-up operates is an end-user Moodle LMS at formation.edacademy.fr for enrolled Edacademy learners — its stock Moodle web-service endpoint answers 200 with errorcode ""invalidtoken"" but is Moodle's contract, token-gated and undocumented by Educ-up — while the corporate domain educ-up.fr now 302s to an IONOS parked page that returns the same 336-byte body for every path including nonsense ones, and the Domissori (WordPress) and Edacademy (Webflow) marketing sites carry no developer portal, no API reference and no spec at any probed location.",edtech,active,https://educ-up.fr/
